"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 06:41:30 UTC 2024","Mon May 06 06:41:32 UTC 2024","2113","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Mon May 06 08:25:52 UTC 2024","Mon May 06 08:25:52 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Mon May 06 06:23:55 UTC 2024","Mon May 06 06:23:55 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Mon May 06 05:45:15 UTC 2024","Mon May 06 05:45:30 UTC 2024","15499","","9. Client Portal - Home","","","","1. Check links",""
"passed","Mon May 06 06:54:34 UTC 2024","Mon May 06 06:54:38 UTC 2024","4306","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon May 06 06:47:11 UTC 2024","Mon May 06 06:47:23 UTC 2024","12401","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Mon May 06 06:42:00 UTC 2024","Mon May 06 06:42:10 UTC 2024","10116","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"broken","Mon May 06 06:23:55 UTC 2024","Mon May 06 06:23:55 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon May 06 06:41:33 UTC 2024","Mon May 06 06:41:37 UTC 2024","4167","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Mon May 06 06:04:59 UTC 2024","Mon May 06 06:05:14 UTC 2024","14779","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Mon May 06 06:23:55 UTC 2024","Mon May 06 06:23:55 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Mon May 06 08:25:52 UTC 2024","Mon May 06 08:25:52 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon May 06 07:28:38 UTC 2024","Mon May 06 07:28:44 UTC 2024","6575","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon May 06 06:03:03 UTC 2024","Mon May 06 06:03:03 UTC 2024","221","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon May 06 06:54:09 UTC 2024","Mon May 06 06:54:22 UTC 2024","13189","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon May 06 06:47:23 UTC 2024","Mon May 06 06:51:38 UTC 2024","254435","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Mon May 06 06:41:28 UTC 2024","Mon May 06 06:41:30 UTC 2024","2693","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Mon May 06 06:03:03 UTC 2024","Mon May 06 06:03:23 UTC 2024","19501","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Mon May 06 06:02:45 UTC 2024","Mon May 06 06:03:01 UTC 2024","16307","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon May 06 06:41:16 UTC 2024","Mon May 06 06:41:25 UTC 2024","9528","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Mon May 06 06:54:22 UTC 2024","Mon May 06 06:54:32 UTC 2024","9821","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"failed","Mon May 06 06:42:10 UTC 2024","Mon May 06 06:44:42 UTC 2024","151800","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"skipped","Mon May 06 06:23:55 UTC 2024","Mon May 06 06:23:55 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Mon May 06 06:41:48 UTC 2024","Mon May 06 06:42:00 UTC 2024","11901","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon May 06 06:05:15 UTC 2024","Mon May 06 06:05:20 UTC 2024","4966","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Mon May 06 06:05:14 UTC 2024","Mon May 06 06:05:15 UTC 2024","1046","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Mon May 06 08:25:52 UTC 2024","Mon May 06 08:25:52 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon May 06 06:03:01 UTC 2024","Mon May 06 06:03:03 UTC 2024","1689","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Mon May 06 06:41:25 UTC 2024","Mon May 06 06:41:28 UTC 2024","2444","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Mon May 06 05:42:36 UTC 2024","Mon May 06 05:43:40 UTC 2024","63775","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Mon May 06 06:23:55 UTC 2024","Mon May 06 06:23:55 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Mon May 06 06:41:46 UTC 2024","Mon May 06 06:41:48 UTC 2024","1479","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Mon May 06 06:23:55 UTC 2024","Mon May 06 06:23:55 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"skipped","Mon May 06 06:00:39 UTC 2024","Mon May 06 06:00:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Mon May 06 06:05:20 UTC 2024","Mon May 06 06:05:22 UTC 2024","1562","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Mon May 06 08:25:52 UTC 2024","Mon May 06 08:25:52 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Mon May 06 06:41:37 UTC 2024","Mon May 06 06:41:46 UTC 2024","9549","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"broken","Mon May 06 08:25:52 UTC 2024","Mon May 06 08:25:52 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"failed","Mon May 06 06:27:52 UTC 2024","Mon May 06 06:28:11 UTC 2024","18428","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
